datapath,bamfiles,peakfiles,sample,replicate
C:/Users/Rick/Desktop/data,A549_ENCFF001CLE_chr21.bam,A549_ENCFF001WCZ.bed.gz,A549,I
C:/Users/Rick/Desktop/data,A549_ENCFF001CLJ_chr21.bam,A549_ENCFF001WDA.bed.gz,A549,II
C:/Users/Rick/Desktop/data,SAEC_ENCFF001EFI_chr21.bam,SAEC_ENCFF001WSH.bed.gz,SAEC,I
C:/Users/Rick/Desktop/data,SAEC_ENCFF001EFN_chr21.bam,SAEC_ENCFF001WSI.bed.gz,SAEC,II
